,vehicle_id,vehicle_type,nr_of_stops,stopping_station_ids
66,IC1737,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
67,IC1738,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
68,IC1739,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
69,IC1740,IC,21,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000', u'008884566', u'008884541', u'008884004', u'008884319', u'008884327', u'008884350', u'008884335']"
70,IC1744,IC,14,"[u'008841004', u'008841202', u'008841400', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008814308', u'008883006', u'008883113', u'008881166', u'008881000']"
71,IC1805,IC,9,"[u'008892007', u'008893120', u'008894151', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
72,IC1806,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
73,IC1807,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
74,IC1808,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
75,IC1809,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
76,IC1810,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
77,IC1811,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
78,IC1812,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
79,IC1813,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
80,IC1814,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
81,IC1815,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
82,IC1816,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
83,IC1817,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
84,IC1818,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
85,IC1819,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
86,IC1820,IC,10,"[u'008891702', u'008891009', u'008892007', u'008893120', u'008894201', u'008894508', u'008894748', u'008821196', u'008821121', u'008821006']"
87,IC1826,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
88,IC1827,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
89,IC1828,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
90,IC1829,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
91,IC1830,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
92,IC1831,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
93,IC1832,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
94,IC1833,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
95,IC1834,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
96,IC1835,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
97,IC1836,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
98,IC1837,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
99,IC1838,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
100,IC1839,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
101,IC1840,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
102,IC1841,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
103,IC1842,IC,10,"[u'008821006', u'008821121', u'008821196', u'008894748', u'008894508', u'008894201', u'008893120', u'008892007', u'008891009', u'008891702']"
104,IC1905,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
105,IC1906,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
106,IC1907,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
107,IC1912,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
108,IC1913,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
109,IC1914,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
110,IC1915,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
111,IC1916,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
112,IC1919,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
113,IC1921,IC,12,"[u'008885001', u'008886348', u'008886009', u'008883436', u'008883311', u'008814308', u'008814001', u'008813003', u'008812005', u'008811213', u'008811221', u'008819406']"
114,IC1928,IC,12,"[u'008819406', u'008811221', u'008811213', u'008812005', u'008813003', u'008814001', u'008814308', u'008883311', u'008883436', u'008886009', u'008886348', u'008885001']"
115,IC1929,IC,12,"[u'008819406', u'008811221', u'008811213', u'008812005', u'008813003', u'008814001', u'008814308', u'008883311', u'008883436', u'008886009', u'008886348', u'008885001']"
116,IC1933,IC,12,"[u'008819406', u'008811221', u'008811213', u'008812005', u'008813003', u'008814001', u'008814308', u'008883311', u'008883436', u'008886009', u'008886348', u'008885001']"
117,IC1934,IC,12,"[u'008819406', u'008811221', u'008811213', u'008812005', u'008813003', u'008814001', u'008814308', u'008883311', u'008883436', u'008886009', u'008886348', u'008885001']"
118,IC1936,IC,12,"[u'008819406', u'008811221', u'008811213', u'008812005', u'008813003', u'008814001', u'008814308', u'008883311', u'008883436', u'008886009', u'008886348', u'008885001']"
119,IC1937,IC,12,"[u'008819406', u'008811221', u'008811213', u'008812005', u'008813003', u'008814001', u'008814308', u'008883311', u'008883436', u'008886009', u'008886348', u'008885001']"
120,IC1939,IC,12,"[u'008819406', u'008811221', u'008811213', u'008812005', u'008813003', u'008814001', u'008814308', u'008883311', u'008883436', u'008886009', u'008886348', u'008885001']"
121,IC1943,IC,12,"[u'008819406', u'008811221', u'008811213', u'008812005', u'008813003', u'008814001', u'008814308', u'008883311', u'008883436', u'008886009', u'008886348', u'008885001']"
122,IC1944,IC,6,"[u'008819406', u'008811221', u'008811213', u'008812005', u'008813003', u'008814001']"
123,IC19716,IC,12,"[u'008821006', u'008821121', u'008894508', u'008894201', u'008893120', u'008892007', u'008896149', u'008896008', u'008885704', u'008728654', u'008728673', u'008728600']"
124,IC19722,IC,12,"[u'008821006', u'008821121', u'008894508', u'008894201', u'008893120', u'008892007', u'008896149', u'008896008', u'008885704', u'008728654', u'008728673', u'008728600']"
125,IC2005,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
126,IC2006,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
127,IC2007,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
128,IC2009,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
129,IC2011,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
130,IC2012,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
131,IC2013,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
132,IC2014,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
133,IC2015,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
134,IC2016,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
135,IC2017,IC,11,"[u'008872009', u'008871100', u'008871308', u'008814209', u'008814258', u'008814001', u'008813003', u'008812005', u'008822004', u'008821121', u'008821006']"
